accurateCrosses,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accuratePasses,accuratePassesAgainst,aerialDuelsWon,assists,averageBallPossession,avgRating,awardedMatches,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsScored,groundDuelsWon,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPassesAgainst,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,yellowCards,yellowCardsAgainst,yellowRedCards,home,draw,away,id
1,-268,87,1318,-616,328,-192,1645,-796,-14,9,16,0.31425559222580013,0,9,-9,7,-6,3,-2,0,-66,35,-1,24,-26,-12,-45,-4,-22,-26,-74,-1,-2,-1,0,0,0,1,0,0,6,-7,9,-1,9,-60,0,-1,-3,-16,-1,-26,1,1,-14,52,0,16,-17,-721,1,-165,-1,-1,0,-1,-134,1,-1,7,-7,50,-36,-8,37,-26,13,-10,10,-13,17,-15,-6,-15,-13,-45,35,-147,-336,-102,63,1329,227,1521,-841,-9,-4,0,0,1,0,10012266
14,-218,101,618,-107,-184,241,420,137,24,3,3,0.15152243589749936,0,-5,-3,-1,-2,-5,2,2,-64,69,-2,12,-12,-3,-30,-40,-3,-4,-16,0,1,1,0,-1,-2,-3,-8,1,4,-4,-4,3,0,-40,-1,0,-1,13,-5,-5,2,-1,-55,-35,0,-9,-4,-182,0,235,-1,-3,-1,-1,-37,0,1,1,4,35,-11,-7,13,-21,22,10,11,-1,8,-3,-22,2,-41,16,53,-77,-254,-93,102,696,-242,401,83,-6,-4,0,1,0,0,10012268
-13,-243,-102,-1075,-407,-1163,-595,-2225,-999,-46,-7,-10,-0.0572796934866,0,-23,-2,-14,-2,-14,-3,-3,-42,-63,0,-16,-6,-3,-48,-115,-61,-30,-201,1,-1,-1,-3,0,0,0,-40,0,-3,-2,-9,-1,-12,-155,-4,-3,-1,-42,-36,-22,0,-4,-98,-238,-4,-15,-4,-650,0,-746,0,1,1,0,-561,-1,0,-2,-5,-52,-31,-8,-49,-18,-3,-13,-18,-16,-25,-7,-67,-45,-78,-73,-47,-375,-349,-302,-191,-1389,-1231,-2573,-1348,-7,-5,-1,0,0,1,10157522
-3,289,-5,503,508,359,744,865,1230,-37,6,-5,-0.09965140380630011,0,9,6,10,10,9,3,1,53,6,1,11,34,22,63,40,10,9,33,0,1,0,1,-1,3,3,-5,0,0,8,0,3,5,70,0,5,2,19,0,35,0,1,-21,-14,2,-11,23,528,0,812,0,-1,-1,1,94,1,1,2,6,45,45,14,18,26,27,19,14,15,16,16,21,10,61,-38,-5,100,339,138,-17,509,374,888,1277,4,4,0,0,0,1,10157517
-29,-127,-38,-608,181,-799,687,-1378,865,-36,-2,-5,-0.09363493030650005,0,-5,4,-1,12,-4,-3,-1,77,-37,4,-14,35,3,56,-9,27,34,-89,2,-1,2,0,-1,-5,-6,75,1,0,10,-3,-1,-2,-53,1,4,-1,4,32,1,0,5,154,61,0,-19,3,265,1,627,-1,-2,-3,-2,-53,-2,-1,-10,-8,-30,-10,-22,-8,-16,-22,6,-22,6,-6,6,-31,0,-1,-31,-93,17,-86,48,45,-643,-854,-1404,836,21,-9,-1,0,0,1,10160954
-30,111,-37,-69,199,388,375,349,558,-53,-8,-3,-0.12868967452300062,0,-8,1,-8,-1,-3,-2,1,2,-67,0,-11,11,16,41,27,18,10,-9,0,1,0,-2,-1,-3,-4,-6,-1,-4,2,-6,-2,-9,44,-2,-2,2,-2,10,-7,0,-1,19,-7,0,4,-6,255,0,360,1,1,0,1,36,0,0,-4,-2,-6,-7,3,-14,-5,8,-2,-7,-11,0,1,12,24,12,-87,-92,-22,144,65,-15,-123,444,374,574,0,5,0,0,1,0,10103402
3,-74,17,166,-106,175,65,338,-35,-20,0,10,-0.0008928571429001053,0,1,-1,0,0,2,0,0,-11,17,0,4,-14,-6,-18,-8,0,-9,-23,0,1,1,0,0,0,0,-5,1,1,0,-1,2,1,-3,1,0,-1,-15,-4,-16,0,0,-25,-53,0,2,-2,-166,0,81,0,0,0,0,-24,0,0,0,-9,17,-25,-10,9,-14,8,-11,10,-6,1,-9,-12,20,-12,-34,12,-63,-104,-29,13,193,146,327,-67,-4,-1,0,1,0,0,10157753
-21,-289,-43,-1024,-788,-733,-993,-1736,-1767,-40,-7,7,-0.07766853932580009,0,-15,-1,-11,-3,-10,-3,-4,-32,-105,0,-31,-6,-14,-45,-80,-69,-45,-183,0,-2,0,1,0,0,1,-28,0,-2,-1,-8,0,-8,-143,-3,-2,0,-36,-35,-40,0,-4,-97,-182,-4,-16,-3,-1015,-1,-1084,1,0,0,1,-535,1,0,-1,-7,-41,-48,-13,-37,-23,-4,-25,-13,-28,-18,-7,-56,-64,-59,-85,-98,-357,-380,-272,-114,-1338,-820,-2060,-2054,0,-6,1,1,0,0,10157521
-12,-410,-92,-797,-752,-1059,-973,-1844,-1713,-11,-7,6,-0.07747252747249966,0,-18,-11,-13,-5,-12,-6,-1,-57,-66,0,-25,-23,-12,-65,-65,-67,-43,-133,-1,0,1,-2,-2,-3,-5,-50,0,2,-4,-8,-1,-9,-122,0,-3,-1,-34,-35,-39,0,-2,-57,-108,-4,-9,-3,-998,0,-1063,-2,-1,-1,-2,-455,-1,-1,-7,-20,-77,-61,-18,-55,-35,-22,-26,-23,-19,-40,-24,-46,-65,-39,-38,-70,-287,-546,-249,-142,-1032,-1158,-2120,-1996,-9,-4,0,1,0,0,10157525
-10,-375,-92,-28,-985,-672,-869,-690,-1830,-52,-2,17,-0.05988372093020011,0,-5,-5,-5,-3,-4,-4,-4,-97,-35,-1,-12,-24,-24,-94,-42,-75,-36,-223,1,-1,0,0,0,0,0,-43,0,1,0,0,0,-2,-171,0,-5,-3,-52,-40,-44,-1,1,-99,-166,-4,-8,-7,-1316,0,-917,0,1,1,1,-498,0,0,-1,-15,-17,-65,-15,-11,-34,-6,-31,-9,-34,-4,-16,-24,-90,-57,-103,-23,-412,-551,-309,-165,-273,-780,-1030,-2139,-16,-12,0,0,1,0,10157528
